Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",5,4.55,Del Rey,Hardcover,524,2016,2016,2025/04/12,2025/04/09,for-jubie-2026,for-jubie-2026 (#1),read,"If I could give 6 stars, I would",,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.51,Ballantine Books,Hardcover,476,2021,2021,2025/09/24,2025/07/20,,,read,,,,1,0
208455470,Blood Over Bright Haven,M.L. Wang,"Wang, M.L.",,"=""059387336X""","=""9780593873366""",5,4.32,Del Rey,Kindle Edition,422,2023,2023,2025/09/27,2025/08/15,,,read,,,,1,0
42800305,"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",5,4.34,Harper Voyager,Kindle Edition,675,2019,2019,2025/11/07,2025/11/02,,,read,,,,1,0
208033371,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.76,Tor Books,Kindle Edition,1088,,2014,2025/11/02,2025/10/20,,,read,“Honor is dead… but I’ll see what I can do.” ⭐️⭐️⭐️⭐️⭐️⭐️,,,1,0
123224266,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.56,Tor Books,Kindle Edition,586,2023,2014,2025/10/20,2025/10/13,,,read,,,,1,0
53463056,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.66,Tor Books,Kindle Edition,1137,2010,2010,2025/10/13,2025/08/15,,,read,,,,1,0
194984166,"A Game of Gods (Hades Saga, #3)",Scarlett St.  Clair,"Clair, Scarlett St.",,"=""1728259703""","=""9781728259703""",5,4.00,Bloom Books,Kindle Edition,587,2023,2023,2025/09/09,2025/05/22,,,read,,,,1,0
107524920,"A Touch of Chaos (Hades x Persephone Saga, #4)",Scarlett St.  Clair,"Clair, Scarlett St.",,"=""1728259754""","=""9781728259758""",5,3.92,Bloom Books,Kindle Edition,584,2024,2024,2025/09/12,2025/05/22,,,read,,,,1,0
58854438,A Touch of Malice (Hades X Persephone #3),Scarlett St.  Clair,"Clair, Scarlett St.",,"=""1728258480""","=""9781728258485""",5,3.93,Bloom Books,Kindle Edition,466,2021,2021,2025/09/06,2025/03/01,,,read,,,,1,0
40189879,"The Traitor Baru Cormorant (The Masquerade, #1)",Seth Dickinson,"Dickinson, Seth",,"=""""","=""""",4,4.04,Tor Books,Kindle Edition,401,2015,2015,2025/09/04,2025/08/10,,,read,,,,1,0
52780201,"Dark Heir (Dark Rise, #2)",C.S. Pacat,"Pacat, C.S.",,"=""0062946196""","=""9780062946195""",5,4.52,Quill Tree Books,Kindle Edition,496,2023,2023,2025/08/31,2025/08/28,,,read,,,,1,0
214333691,Sunrise on the Reaping (The Hunger Games),Suzanne Collins,"Collins, Suzanne",,"=""1546171479""","=""9781546171478""",5,4.50,Scholastic Press,Kindle Edition,400,2025,2025,2025/08/28,2025/05/22,,,read,,,,1,0
28937572,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",5,4.57,Henry Holt and Company,Kindle Edition,560,2016,2016,2025/08/26,2025/05/22,,,read,,,,1,0
57383685,"Dark Rise (Dark Rise, #1)",C.S. Pacat,"Pacat, C.S.",,"=""""","=""""",4,4.15,Quill Tree Books,Kindle Edition,463,2021,2021,2025/08/23,2025/08/21,,,read,,,,1,0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",5,4.38,Tor Books,Hardcover,590,2007,2007,2025/08/20,2025/08/16,,,read,,,,1,0
240019794,Everybody's Perfect,Jo Walton,"Walton, Jo",,"=""1250314054""","=""9781250314055""",0,3.83,Tor Books,Hardcover,272,2026,2026,,2025/08/17,to-read,to-read (#3),to-read,,,,0,0
58159316,"Glow (The Plated Prisoner, #4)",Raven Kennedy,"Kennedy, Raven",,"=""""","=""""",4,4.12,Raven Kennedy,Kindle Edition,738,2022,2022,2025/08/16,2025/03/01,,,read,,,,1,0
61755286,"Light Bringer (Red Rising Saga, #6)",Pierce Brown,"Brown, Pierce",,"=""0425285987""","=""9780425285985""",5,4.77,Del Rey,Kindle Edition,800,2023,2023,2025/08/09,2025/05/22,,,read,,,,1,0
100183621,The Unmaking of June Farrow,Adrienne Young,"Young, Adrienne",,"=""0593598687""","=""9780593598689""",4,4.11,Dell,Kindle Edition,341,2023,2023,2025/07/31,2024/12/30,,,read,,,,1,0
37562956,Dark Age (Red Rising Saga #5),Pierce Brown,"Brown, Pierce",,"=""""","=""""",5,4.51,Del Rey,Kindle Edition,784,2019,2019,2025/07/26,2025/05/22,,,read,,,,1,0
214208274,"Fearless (The Powerless Trilogy, #3)",Lauren  Roberts,"Roberts, Lauren",,"=""1665955481""","=""9781665955485""",4,4.05,Simon & Schuster Books for Young Readers,Kindle Edition,608,2025,2025,2025/07/11,2025/05/22,,,read,,,,1,0
33361943,"Iron Gold (Red Rising Saga, #4)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",4,4.21,Del Rey,Kindle Edition,605,2018,2018,2025/06/21,2025/05/22,,,read,,,,1,0
